no,Nama Partai,Nama Calon Legislatif,Jenis KeLamin,Kecamatan,No Urut Parpol,Suara Sah Partai,Jumlah Perolehan Kursi,Daerah Pemilihan,No Urut Caleg,Suara Sah Caleg,Terpilih atau Tidak
1,Partai Hati Nurani Rakyat,"H. Jamaluddin Lamanda, SH",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,1,2425,TIDAK
2,Partai Hati Nurani Rakyat,Suprawito,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,2,3348,YA
3,Partai Hati Nurani Rakyat,Hj. Endang Barnita,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,3,470,TIDAK
4,Partai Hati Nurani Rakyat,Syarifuddin,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,4,424,TIDAK
5,Partai Hati Nurani Rakyat,Iksan S. Chaeruddin,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,5,959,TIDAK
6,Partai Hati Nurani Rakyat,Hj. Siti Mariam,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,6,459,TIDAK
7,Partai Hati Nurani Rakyat,Bustami Rahawarin,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,7,126,TIDAK
8,Partai Hati Nurani Rakyat,Edutino Adriaan,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,8,69,TIDAK
9,Partai Hati Nurani Rakyat,Dr. Griselda P.S Aer,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,9,326,TIDAK
10,Partai Hati Nurani Rakyat,H. Nahwori,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,10,0,TIDAK
11,Partai Hati Nurani Rakyat,H. Buhari,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,11,410,TIDAK
12,Partai Hati Nurani Rakyat,"Maenah, Amk",P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,12,617,TIDAK
13,Partai Hati Nurani Rakyat,"Dian Esha Fauzan Prasetya, SE",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,13,644,TIDAK
14,Partai Hati Nurani Rakyat,M. Atip,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,14,30,TIDAK
15,Partai Hati Nurani Rakyat,Humayrah Royani FD,P,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,15,53,TIDAK
16,Partai Hati Nurani Rakyat,Danu Jamaludin Saifudun,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,16,194,TIDAK
17,Partai Hati Nurani Rakyat,"Reza Rama Valiandra, SH",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,17,1861,TIDAK
18,Partai Hati Nurani Rakyat,"Omay Chusmayadi, SH",L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,18,229,TIDAK
19,Partai Hati Nurani Rakyat,Drs. H. Mabrur Abduh,L,Kota Administrasi Jakarta Utara,1,20917,6,DP-1,19,2645,TIDAK
20,Partai Hati Nurani Rakyat,"Veri Yonnevil Munir, SH",L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,1,3397,TIDAK
21,Partai Hati Nurani Rakyat,Rachmat HS,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,2,777,TIDAK
22,Partai Hati Nurani Rakyat,Hj. Ismarini,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,3,855,TIDAK
23,Partai Hati Nurani Rakyat,Dhalia Bawole,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,4,661,TIDAK
24,Partai Hati Nurani Rakyat,Hastory Aditya Karma,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,5,807,TIDAK
25,Partai Hati Nurani Rakyat,Sukarno,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,6,155,TIDAK
26,Partai Hati Nurani Rakyat,Dra. Farida Listuti,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,7,179,TIDAK
27,Partai Hati Nurani Rakyat,H.Ahmad Laisak,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,8,641,TIDAK
28,Partai Hati Nurani Rakyat,"Erri Riizki Rahman, SH",L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,9,232,TIDAK
29,Partai Hati Nurani Rakyat,Taty Suharti Djemani,P,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,10,138,TIDAK
30,Partai Hati Nurani Rakyat,Dwinanto Agung H,L,Kota Administrasi Jakarta Pusat,1,10782,6,DP-2,11,71,TIDAK
31,Partai Hati Nurani Rakyat,"H. Muhammad Guntur, SE,MM",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,1,4404,YA
32,Partai Hati Nurani Rakyat,Abdul Canter Sangaji,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,2,1753,TIDAK
33,Partai Hati Nurani Rakyat,"Dian Ekasari, SH",P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,3,765,TIDAK
34,Partai Hati Nurani Rakyat,"H. Muhammad Fahmi, SE",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,4,1089,TIDAK
35,Partai Hati Nurani Rakyat,H.Jumala,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,5,308,TIDAK
36,Partai Hati Nurani Rakyat,"Anny Muchanny, Bac",P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,6,147,TIDAK
37,Partai Hati Nurani Rakyat,"H. Nazar Amir, SH",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,7,1071,TIDAK
38,Partai Hati Nurani Rakyat,Ir. Soeratno,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,8,579,TIDAK
39,Partai Hati Nurani Rakyat,"Hj. Endah Mahmudah Sulaiman, S.Ag",P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,9,1462,TIDAK
40,Partai Hati Nurani Rakyat,DR. dr. Syahril M. Noer,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,10,741,TIDAK
41,Partai Hati Nurani Rakyat,"Erwin Mahyudin, SH",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,11,155,TIDAK
42,Partai Hati Nurani Rakyat,Angelia Nattaly Sapulette,P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,12,160,TIDAK
43,Partai Hati Nurani Rakyat,H. Abdul Lathip,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,13,532,TIDAK
44,Partai Hati Nurani Rakyat,H. Abdul Azis,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,14,293,TIDAK
45,Partai Hati Nurani Rakyat,Inggrid Linda Lantang,P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,15,79,TIDAK
46,Partai Hati Nurani Rakyat,"Moektiono Ngestiadi, SE",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,16,28,TIDAK
47,Partai Hati Nurani Rakyat,Andien Baktiar,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,17,208,TIDAK
48,Partai Hati Nurani Rakyat,Tuti Tambunan,P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,18,129,TIDAK
49,Partai Hati Nurani Rakyat,Drs. Surya Kusuma,P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,19,41,TIDAK
50,Partai Hati Nurani Rakyat,"Drs. H. Syaiful Hamzah Hanafie, MBA",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,20,463,TIDAK
51,Partai Hati Nurani Rakyat,Mirdawati,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,21,154,TIDAK
52,Partai Hati Nurani Rakyat,"Benny, SE",P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,22,195,TIDAK
53,Partai Hati Nurani Rakyat,M. Rido Nasution,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,23,116,TIDAK
54,Partai Hati Nurani Rakyat,Junaini,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,24,40,TIDAK
55,Partai Hati Nurani Rakyat,Ir. H. Piet Supardi Suryadi,P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,25,394,TIDAK
56,Partai Hati Nurani Rakyat,"Syamsu Rizal, SE",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,26,405,TIDAK
57,Partai Hati Nurani Rakyat,Iin Sri Kadarini Ayal,P,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,27,123,TIDAK
58,Partai Hati Nurani Rakyat,"Hasiholan Mapaung, SH",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,28,523,TIDAK
59,Partai Hati Nurani Rakyat,"Ir. Hot Asi Simamora, MM",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,29,282,TIDAK
60,Partai Hati Nurani Rakyat,"H. Kusnoto S, BSc, SE",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,30,563,TIDAK
61,Partai Hati Nurani Rakyat,"Kores Tambunan, SH",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,31,512,TIDAK
62,Partai Hati Nurani Rakyat,Matani,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,32,208,TIDAK
63,Partai Hati Nurani Rakyat,"Subandi, SE",L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,33,104,TIDAK
64,Partai Hati Nurani Rakyat,H. Jamaluddin Mahmud,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,34,346,TIDAK
65,Partai Hati Nurani Rakyat,Drs. Suklur,L,Kota Administrasi Jakarta Timur,1,26101,6,DP-3,35,532,TIDAK
66,Partai Hati Nurani Rakyat,"Drs. H. Rukun Santoso, MM, M.Si",L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,1,2989,YA
67,Partai Hati Nurani Rakyat,"H. G. Totok Sugiyarto, SH",L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,2,1830,TIDAK
68,Partai Hati Nurani Rakyat,"Dra. Hj. Maisyaroh, M.Si",P,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,3,996,TIDAK
69,Partai Hati Nurani Rakyat,Ir. H. Darwis Darlis,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,4,668,TIDAK
70,Partai Hati Nurani Rakyat,Drs. Yanwar Muchlisin,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,5,197,TIDAK
71,Partai Hati Nurani Rakyat,Dra. Cholida Hanum,P,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,6,437,TIDAK
72,Partai Hati Nurani Rakyat,Ir. Serioza Prakasa ,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,7,713,TIDAK
73,Partai Hati Nurani Rakyat,Buchori Ibrahim,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,8,290,TIDAK
74,Partai Hati Nurani Rakyat,"Retno Rosmita, SE",P,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,9,295,TIDAK
75,Partai Hati Nurani Rakyat,Drs. Moh. Rio Murani Djajasinga,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,10,130,TIDAK
76,Partai Hati Nurani Rakyat,"Ladunini, ST",L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,11,201,TIDAK
77,Partai Hati Nurani Rakyat,Savitri Dian Damayanti,P,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,12,513,TIDAK
78,Partai Hati Nurani Rakyat,Latief M.Ramella,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,13,180,TIDAK
79,Partai Hati Nurani Rakyat,Ir. H. Boediono Dajoesman,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,14,121,TIDAK
80,Partai Hati Nurani Rakyat,Joy  Maukar,P,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,15,50,TIDAK
81,Partai Hati Nurani Rakyat,Ir. Ateng Surya Praja,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,16,72,TIDAK
82,Partai Hati Nurani Rakyat,Hamdani Naim,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,17,596,TIDAK
83,Partai Hati Nurani Rakyat,"Hj. Sri Mulyani, SE",P,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,18,346,TIDAK
84,Partai Hati Nurani Rakyat,"H.R. Youri Lylie, S.Kom, MM",L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,19,63,TIDAK
85,Partai Hati Nurani Rakyat,Erlan Surya Maulana,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,20,145,TIDAK
86,Partai Hati Nurani Rakyat,"Wijaya Kusuma, SE",L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,21,85,TIDAK
87,Partai Hati Nurani Rakyat,Haridt Rahman Hakim,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,22,167,TIDAK
88,Partai Hati Nurani Rakyat,Sarma Marihotua Sitanggang,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,23,564,TIDAK
89,Partai Hati Nurani Rakyat,"Heri Pahwasono, SE, Ak",L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,24,195,TIDAK
90,Partai Hati Nurani Rakyat,Jouf Basyaib ,L,Kota Administrasi Jakarta Selatan,1,17702,6,DP-4,25,72,TIDAK
91,Partai Hati Nurani Rakyat,"Fahmi Zulfikar, SH",L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,1,3082,YA
92,Partai Hati Nurani Rakyat,Hamidi AR,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,2,1195,TIDAK
93,Partai Hati Nurani Rakyat,Yolandasari Putri,P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,3,765,TIDAK
94,Partai Hati Nurani Rakyat,Drs. Kamaludin HTP,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,4,684,TIDAK
95,Partai Hati Nurani Rakyat,"Drs.  Harry Sorongan, MM",L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,5,249,TIDAK
96,Partai Hati Nurani Rakyat,"Elsa Sarahdina, SS",P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,6,319,TIDAK
97,Partai Hati Nurani Rakyat,Anthoney  Darmawan,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,7,937,TIDAK
98,Partai Hati Nurani Rakyat,"M. Cholil Saleh, SH",L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,8,459,TIDAK
99,Partai Hati Nurani Rakyat,Dra. Yufi Fisalma,P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,9,410,TIDAK
100,Partai Hati Nurani Rakyat,Chevi Rasjid R,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,10,305,TIDAK
101,Partai Hati Nurani Rakyat,"Ir. M. Shofiyul Hadii, SE, MBA",L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,11,282,TIDAK
102,Partai Hati Nurani Rakyat,"Dra. Husnidar Husen, MM",P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,12,130,TIDAK
103,Partai Hati Nurani Rakyat,Mohammad Erwin,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,13,349,TIDAK
104,Partai Hati Nurani Rakyat,"Ferizal, CH",L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,14,354,TIDAK
105,Partai Hati Nurani Rakyat,Ratu Camelia Sari,P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,15,224,TIDAK
106,Partai Hati Nurani Rakyat,"Joni Putri, SE, MM",L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,16,379,TIDAK
107,Partai Hati Nurani Rakyat,Romili H. Solo,P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,17,1151,TIDAK
108,Partai Hati Nurani Rakyat,"Linda Susanti, SE",P,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,18,246,TIDAK
109,Partai Hati Nurani Rakyat,Luthfi Suwandi,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,19,131,TIDAK
110,Partai Hati Nurani Rakyat,Zebulon Effendi D,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,20,196,TIDAK
111,Partai Hati Nurani Rakyat,Drs. Agus Taufiqurahman,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,21,309,TIDAK
112,Partai Hati Nurani Rakyat,Sukran Makmun,L,Kota Administrasi Jakarta Barat,1,18252,6,DP-5,22,164,TIDAK
113,Partai Karya Peduli Bangsa,Drs. Haris,L,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,1,385,TIDAK
114,Partai Karya Peduli Bangsa,Ir. Thomas Yulius Soputan,L,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,2,302,TIDAK
115,Partai Karya Peduli Bangsa,"Pariasih Manoto, SE",P,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,3,80,TIDAK
116,Partai Karya Peduli Bangsa,Magdaleine N. Ticoalu,P,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,4,52,TIDAK
117,Partai Karya Peduli Bangsa,Syaharuddin Rahim,L,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,5,229,TIDAK
118,Partai Karya Peduli Bangsa,Mohamad Sukron,L,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,6,119,TIDAK
119,Partai Karya Peduli Bangsa,Yuslim,L,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,7,275,TIDAK
120,Partai Karya Peduli Bangsa,"Reni Sri Kristiowati, SE, M.Si",P,Kota Administrasi Jakarta Utara,2,3255,0,DP-1,8,61,TIDAK
121,Partai Karya Peduli Bangsa,Rosilawati Kamnur,P,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,1,715,TIDAK
122,Partai Karya Peduli Bangsa,Abdul Hakim Kamal,L,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,2,196,TIDAK
123,Partai Karya Peduli Bangsa,Rosmaniar,P,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,3,61,TIDAK
124,Partai Karya Peduli Bangsa,Asrial,P,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,4,86,TIDAK
125,Partai Karya Peduli Bangsa,Zulkarnain,L,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,5,19,TIDAK
126,Partai Karya Peduli Bangsa,Ance Silvia maduratna,P,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,6,33,TIDAK
127,Partai Karya Peduli Bangsa,Helmi Faturrachman,L,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,7,144,TIDAK
128,Partai Karya Peduli Bangsa,"Laili Novia, SE",P,Kota Administrasi Jakarta Pusat,2,2137,0,DP-2,8,30,TIDAK
129,Partai Karya Peduli Bangsa,"Etepanus Tengko, SH",L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,1,513,TIDAK
130,Partai Karya Peduli Bangsa,"Drs. PJP. Ginting, MM",L,Bekasi,2,3820,0,DP-3,2,304,TIDAK
131,Partai Karya Peduli Bangsa,Dewi Hayati,P,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,3,168,TIDAK
132,Partai Karya Peduli Bangsa,Yoka Hendry Widigdo,L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,4,51,TIDAK
133,Partai Karya Peduli Bangsa,Ir. Indra P. Prabu,L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,5,122,TIDAK
134,Partai Karya Peduli Bangsa,"Hartana Siregar, SH",P,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,6,39,TIDAK
135,Partai Karya Peduli Bangsa,Robby Januar,L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,7,33,TIDAK
136,Partai Karya Peduli Bangsa,"Rikardo Lumban Raja, SH",L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,8,59,TIDAK
137,Partai Karya Peduli Bangsa,Tumindang S. Situmorang,L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,9,46,TIDAK
138,Partai Karya Peduli Bangsa,TB. Cecep Hidayat,L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,10,60,TIDAK
139,Partai Karya Peduli Bangsa,H. Deani T. Sudjana,L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,11,434,TIDAK
140,Partai Karya Peduli Bangsa,"Hj. Anita Mariani, SE",P,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,12,162,TIDAK
141,Partai Karya Peduli Bangsa,"Drs. H. Muchtar, M.Sc, MM",L,Kota Administrasi Jakarta Timur,2,3820,0,DP-3,13,64,TIDAK
142,Partai Karya Peduli Bangsa,"Teny Liziya, SE",P,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,1,353,TIDAK
143,Partai Karya Peduli Bangsa,"M. Ilyas, MA",L,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,2,354,TIDAK
144,Partai Karya Peduli Bangsa,Dra. Eva Mutia Farida,P,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,3,129,TIDAK
145,Partai Karya Peduli Bangsa,"T. Bahrul Arifin, SE",L,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,4,102,TIDAK
146,Partai Karya Peduli Bangsa,Laliyah,P,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,5,146,TIDAK
147,Partai Karya Peduli Bangsa,Ir. Puspita Indriana,P,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,6,133,TIDAK
148,Partai Karya Peduli Bangsa,Hj. Syahdina,P,Kota Administrasi Jakarta Selatan,2,3166,0,DP-4,7,169,TIDAK
149,Partai Karya Peduli Bangsa,Agus Imam Santoso,L,Kota Administrasi Jakarta Barat,2,4732,0,DP-5,1,1699,TIDAK
150,Partai Karya Peduli Bangsa,"Yusnah, S.Pd",P,Kota Administrasi Jakarta Barat,2,4732,0,DP-5,2,429,TIDAK
151,Partai Karya Peduli Bangsa,Achmad Santosa,L,Kota Administrasi Jakarta Barat,2,4732,0,DP-5,3,226,TIDAK
152,Partai Karya Peduli Bangsa,"Sriyati, SE",P,Kota Administrasi Jakarta Selatan,2,4732,0,DP-5,4,101,TIDAK
153,Partai Karya Peduli Bangsa,Budhy Tristanto,L,Kota Administrasi Jakarta Selatan,2,4732,0,DP-5,5,120,TIDAK
154,Partai Pengusaha Dan Pekerja Indonesia,"Nita Julianty, SE",P,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,1,215,TIDAK
155,Partai Pengusaha Dan Pekerja Indonesia,Herry Kuncahyo Tri Widodo,L,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,2,69,TIDAK
156,Partai Pengusaha Dan Pekerja Indonesia,Nauli Jhansen Rambe,L,Kota Administrasi jakarta Barat,3,1784,0,DP-1,3,226,TIDAK
157,Partai Pengusaha Dan Pekerja Indonesia,Warnoto,L,Kab. ADM. Kepulauan Seribu,3,1784,0,DP-1,4,98,TIDAK
158,Partai Pengusaha Dan Pekerja Indonesia,Suinah Marnasih,P,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,5,114,TIDAK
159,Partai Pengusaha Dan Pekerja Indonesia,"Osland Edward Hutahaean, SH",L,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,6,23,TIDAK
160,Partai Pengusaha Dan Pekerja Indonesia,"Martha Sari Tarigan, SH",P,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,7,29,TIDAK
161,Partai Pengusaha Dan Pekerja Indonesia,Anthony Arsuzano,L,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,8,27,TIDAK
162,Partai Pengusaha Dan Pekerja Indonesia,Faizal Abidin,L,Kota Administrasi Jakarta Utara,3,1784,0,DP-1,9,38,TIDAK
163,Partai Pengusaha Dan Pekerja Indonesia,Marjuki ,L,Kota Administrasi Jakarta  Pusat,3,816,0,DP-2,1,106,TIDAK
164,Partai Pengusaha Dan Pekerja Indonesia,Carmen Elisabeth M,P,Kota Administrasi Jakarta  Pusat,3,816,0,DP-2,2,110,TIDAK
165,Partai Pengusaha Dan Pekerja Indonesia,Dian  Heniwati,P,Kota Administrasi Jakarta  Pusat,3,816,0,DP-2,3,102,TIDAK
166,Partai Pengusaha Dan Pekerja Indonesia,"Ribka Christina, SH",P,Kota Administrasi Jakarta  Pusat,3,816,0,DP-2,4,40,TIDAK
167,Partai Pengusaha Dan Pekerja Indonesia,"Eddy Pardede, SE",L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,1,1259,TIDAK
168,Partai Pengusaha Dan Pekerja Indonesia,Pintor Poosma Gurning,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,2,241,TIDAK
169,Partai Pengusaha Dan Pekerja Indonesia,Asti Tuharsi,P,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,3,172,TIDAK
170,Partai Pengusaha Dan Pekerja Indonesia,Indra Usman Masloman,L,Kota Administrasi Jakarta Pusat,3,3801,0,DP-3,4,72,TIDAK
171,Partai Pengusaha Dan Pekerja Indonesia,dr. Dedy Ristiady K,L,Kota Administrasi Jakarta Selatan,3,3801,0,DP-3,5,61,TIDAK
172,Partai Pengusaha Dan Pekerja Indonesia,Siti Suprapti,P,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,6,70,TIDAK
173,Partai Pengusaha Dan Pekerja Indonesia,"Ferry Ferdinand Putong, MBA",L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,7,43,TIDAK
174,Partai Pengusaha Dan Pekerja Indonesia,Drs. Marulak Silalahi,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,8,63,TIDAK
175,Partai Pengusaha Dan Pekerja Indonesia,Septiawati,P,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,9,56,TIDAK
176,Partai Pengusaha Dan Pekerja Indonesia,Kormensius Barus,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,10,21,TIDAK
177,Partai Pengusaha Dan Pekerja Indonesia,Ir. Tarmedy,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,11,28,TIDAK
178,Partai Pengusaha Dan Pekerja Indonesia,Dra. Lamian Nainggolan,P,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,12,39,TIDAK
179,Partai Pengusaha Dan Pekerja Indonesia,Syarief Oppusunggu,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,13,36,TIDAK
180,Partai Pengusaha Dan Pekerja Indonesia,Toguh Hamonangan Napitupulu,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,14,116,TIDAK
181,Partai Pengusaha Dan Pekerja Indonesia,Tiarma Ritonga,P,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,15,41,TIDAK
182,Partai Pengusaha Dan Pekerja Indonesia,H. Massi Akkas,L,Kota Administrasi Jakarta Timur,3,3801,0,DP-3,16,33,TIDAK
183,Partai Pengusaha Dan Pekerja Indonesia,Mohammad Aufar Sadat,L,Kota Administrasi Jakarta Selatan,3,2396,0,DP-4,1,398,TIDAK
184,Partai Pengusaha Dan Pekerja Indonesia,Ivan Yulianto,L,Kota Administrasi Jakarta Selatan,3,2396,0,DP-4,2,199,TIDAK
185,Partai Pengusaha Dan Pekerja Indonesia,Erna Sudarti,P,Kota Administrasi Jakarta Selatan,3,2396,0,DP-4,3,182,TIDAK
186,Partai Pengusaha Dan Pekerja Indonesia,Nofel Saleh Hilabi,L,Kota Administrasi Jakarta Selatan,3,2396,0,DP-4,4,95,TIDAK
187,Partai Pengusaha Dan Pekerja Indonesia,Rakhmat Aditya,L,Kota Administrasi Jakarta Utara,3,2396,0,DP-4,5,57,TIDAK
188,Partai Pengusaha Dan Pekerja Indonesia,Sutarni,P,Kota Administrasi Jakarta Selatan,3,2396,0,DP-4,6,50,TIDAK
189,Partai Pengusaha Dan Pekerja Indonesia,Dhony Kuswandono,L,Kota Administrasi Jakarta Selatan,3,2396,0,DP-4,7,58,TIDAK
